0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/student/index?_=1587817257384 HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/css/icons/key.png HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/js/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/css/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/resources/img/stubg.jpg HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:20:57 +0800] "GET /laboratoryweb/getNoticeList?_=1587817257385 HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:30 +0800] "GET /laboratoryweb/orderManager?_=1587817134459 HTTP/1.1" 200 4143
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:30 +0800] "POST /laboratoryweb/getPagerOrders HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/studentManager?_=1587817134460 HTTP/1.1" 200 12198
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "POST /laboratoryweb/getPagerStudents HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30001 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30002 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30003 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [25/Apr/2020:20:21:31 +0800] "GET /laboratoryweb/getStuClassName?stuClassId=30003 HTTP/1.1" 200 16
